    0.422712802886962891E+00    0.393022894859313965E+00    0.175660848617553711E+00    0.398197114467620850E+00    0.848831653594970703E+00    0.111676394939422607E+00    0.900525569915771484E+00    0.417049288749694824E+00    0.332232177257537842E+00    0.769715487957000732E+00   -0.181547906446611549E+02   -0.423843203174804876E+04    0.395252516672997235-322
    0.571536302566528320E+00    0.699296355247497559E+00    0.554337918758392334E+00    0.407788991928100586E+00    0.546504259109497070E-01    0.414161801338195801E+00    0.938922286033630371E+00    0.506505668163299561E+00    0.172516942024230957E+00    0.363309621810913086E+00   -0.174723680732243984E+02   -0.691344473683431033E+02    0.395252516672997235-322
    0.221464395523071289E+00    0.756886482238769531E+00    0.489310383796691895E+00    0.272310018539428711E+00    0.526329815387725830E+00    0.717328429222106934E+00    0.825177013874053955E+00    0.891510605812072754E+00    0.342305004596710205E+00    0.264688968658447266E+00   -0.174723680732243984E+02   -0.691344473683431033E+02    0.395252516672997235-322
    0.824218273162841797E+00    0.692149996757507324E+00    0.704455971717834473E-01    0.553699612617492676E+00    0.645021557807922363E+00    0.883457660675048828E+00    0.894227743148803711E+00    0.243323087692260742E+00    0.553318738937377930E+00    0.935464620590209961E+00   -0.162859244449916289E+02   -0.747057103489896974E+02    0.395252516672997235-322
    0.650194823741912842E+00    0.392552793025970459E+00    0.656900405883789062E+00    0.352266073226928711E+00    0.890939891338348389E+00    0.300984323024749756E+00    0.205147027969360352E+00    0.773518681526184082E+00    0.766359150409698486E+00    0.200353682041168213E+00   -0.169163071873784325E+02   -0.947184837085613544E+05    0.395252516672997235-322
    0.992151200771331787E+00    0.897443890571594238E+00    0.134795248508453369E+00    0.285942018032073975E+00    0.902038812637329102E-01    0.548232018947601318E+00    0.420801997184753418E+00    0.719386339187622070E-02    0.501769900321960449E+00    0.602123200893402100E+00    0.402761005052830447-310    0.000000000000000000E+00    0.395252516672997235-322
    0.931672096252441406E+00    0.386376321315765381E+00    0.670292258262634277E+00    0.594821393489837646E+00    0.245154678821563721E+00    0.303425192832946777E+00    0.570873856544494629E+00    0.391469836235046387E+00    0.703874230384826660E+00    0.186365425586700439E+00   -0.178223686650525224E+02   -0.266724163118866500E+03    0.395252516672997235-322
    0.591191053390502930E-01    0.634237349033355713E+00    0.740462362766265869E+00    0.610503137111663818E+00    0.629187226295471191E+00    0.130869567394256592E+00    0.872143864631652832E+00    0.203962326049804688E+00    0.340343892574310303E+00    0.762933492660522461E-01    0.000000000000000000E+00    0.362861280255061566-311    0.395252516672997235-322
    0.147180855274200439E+00    0.865262448787689209E+00    0.453739523887634277E+00    0.815133929252624512E+00    0.790486335754394531E+00    0.948466658592224121E+00    0.654349803924560547E+00    0.652411758899688721E+00    0.210237145423889160E+00    0.149995326995849609E+00   -0.158918767254663020E+02   -0.464085641270213364E+04    0.395252516672997235-322
    0.286733865737915039E+00    0.264341711997985840E+00    0.524597585201263428E+00    0.247342586517333984E-01    0.100657939910888672E+00    0.525728285312652588E+00    0.230962574481964111E+00    0.179617524147033691E+00    0.547890365123748779E+00    0.519312739372253418E+00    0.000000000000000000E+00    0.000000000000000000E+00    0.395252516672997235-322
